__time,/effort_controller/commands/data[1],/joint_states/front_left_wheel_joint/effort,/joint_states/front_left_motor_joint/position,/joint_states/front_left_motor_joint/velocity
1718737790.708245,2.0,0.0,-0.721217286,0.398629423
1718737790.708858,2.0,0.0,-0.720816749,0.400653434
1718737790.710003,2.0,0.0,-0.72041513,0.401710278
1718737790.711122,2.0,0.0,-0.720012287,0.40290783
1718737790.712276,2.0,0.0,-0.719608099,0.404229257
1718737790.712886,2.0,0.0,-0.719202618,0.405503928
1718737790.714132,2.0,0.0,-0.718795929,0.406698009
1718737790.715274,2.0,0.0,-0.718422292,0.37358262
1718737790.715898,2.0,0.0,-0.718054414,0.3677661
1718737790.717017,2.0,0.0,-0.717671578,0.382709551
1718737790.718158,2.0,0.0,-0.717279959,0.391509293
1718737790.719307,2.0,0.0,-0.716896091,0.383750673
1718737790.720503,2.0,0.0,-0.716459234,0.436766708
1718737790.721092,2.0,0.0,-0.715991024,0.468164152
1718737790.72219,2.0,0.0,-0.715513525,0.477503699
1718737790.72331,2.0,0.0,-0.715033795,0.479799489
1718737790.723882,2.0,0.0,-0.714548875,0.484996322
1718737790.725009,2.0,0.0,-0.714034482,0.51555296
1718737790.726155,2.0,0.0,-0.7130929,0.940630166
1718737790.72629,2.0,0.0,-0.7130929,0.940630166
1718737790.727318,2.0,0.0,-0.712472008,0.620762135
1718737790.727918,2.0,0.0,-0.712067888,0.40433776
1718737790.729072,2.0,0.0,-0.711707481,0.360701602
1718737790.730313,2.0,0.0,-0.711318833,0.38890098
1718737790.730854,2.0,0.0,-0.710897811,0.421211901
1718737790.732018,2.0,0.0,-0.710459449,0.438499997
1718737790.733166,2.0,0.0,-0.710014979,0.444570037
1718737790.734356,2.0,0.0,-0.70956855,0.446499954
1718737790.73497,2.0,0.0,-0.709120235,0.448347803
1718737790.73607,2.0,0.0,-0.708668046,0.452210504
1718737790.737212,2.0,0.0,-0.708212344,0.455705015
1718737790.738341,2.0,0.0,-0.707764028,0.448263908
1718737790.738922,2.0,0.0,-0.707260209,0.503749963
1718737790.74008,2.0,0.0,-0.706723801,0.536346995
1718737790.741206,2.0,0.0,-0.706173832,0.549947407
1718737790.74185,2.0,0.0,-0.705618405,0.555430747
1718737790.743014,2.0,0.0,-0.705058482,0.559942761
1718737790.744132,2.0,0.0,-0.704532246,0.526159821
1718737790.745272,2.0,0.0,-0.70398642,0.545647674
1718737790.745884,2.0,0.0,-0.703407683,0.578512325
1718737790.747002,2.0,0.0,-0.702813725,0.59374297
1718737790.748153,2.0,0.0,-0.702216841,0.596707329
1718737790.749273,2.0,0.0,-0.701621108,0.59560121
1718737790.749851,2.0,0.0,-0.701026509,0.594511424
1718737790.750982,2.0,0.0,-0.700414613,0.612714159
1718737790.752135,2.0,0.0,-0.699412637,1.00106806
1718737790.75327,2.0,0.0,-0.698704868,0.707603825
1718737790.753848,2.0,0.0,-0.698194718,0.510308733
1718737790.755066,2.0,0.0,-0.697723624,0.471331701
1718737790.756228,2.0,0.0,-0.69722643,0.497416986
1718737790.756905,2.0,0.0,-0.696714572,0.511995772
1718737790.758026,2.0,0.0,-0.696131571,0.583064065
1718737790.759167,2.0,0.0,-0.695509031,0.622602261
1718737790.76031,2.0,0.0,-0.694875489,0.633634626
1718737790.760901,2.0,0.0,-0.694239162,0.636426873
1718737790.762035,2.0,0.0,-0.693600144,0.63911155
1718737790.763167,2.0,0.0,-0.692957254,0.642967805
1718737790.764311,2.0,0.0,-0.692310288,0.647022111
1718737790.764858,2.0,0.0,-0.691659881,0.650445283
1718737790.766001,2.0,0.0,-0.691006861,0.653035195
1718737790.767152,2.0,0.0,-0.690351958,0.654905836
1718737790.768378,2.0,0.0,-0.689695609,0.656337252
1718737790.768893,2.0,0.0,-0.689038093,0.657494807
1718737790.770096,2.0,0.0,-0.688379654,0.658388017
1718737790.771194,2.0,0.0,-0.687720563,0.659104583
1718737790.771783,2.0,0.0,-0.687060829,0.65960334
1718737790.772974,2.0,0.0,-0.686372433,0.689351654
1718737790.774069,2.0,0.0,-0.685256211,1.115021894
1718737790.775206,2.0,0.0,-0.68448505,0.770901216
1718737790.775805,2.0,0.0,-0.683876989,0.60813828
1718737790.77694,2.0,0.0,-0.683278628,0.598469398
1718737790.77811,2.0,0.0,-0.682639302,0.639527681
1718737790.779231,2.0,0.0,-0.681967088,0.672401402
1718737790.779853,2.0,0.0,-0.681313875,0.653327192
1718737790.780978,2.0,0.0,-0.68066341,0.650501743
1718737790.782133,2.0,0.0,-0.679998715,0.66468893
1718737790.783268,2.0,0.0,-0.679326241,0.672453214
1718737790.783864,2.0,0.0,-0.678650856,0.675367034
1718737790.785005,2.0,0.0,-0.677973792,0.677052347
1718737790.786151,2.0,0.0,-0.677294557,0.679233076
1718737790.787292,2.0,0.0,-0.676612488,0.682071882
1718737790.78789,2.0,0.0,-0.675927275,0.685220217
1718737790.789037,2.0,0.0,-0.675238893,0.688389396
1718737790.790175,2.0,0.0,-0.674547437,0.691461429
1718737790.790776,2.0,0.0,-0.673853019,0.694420692
1718737790.791923,2.0,0.0,-0.673155733,0.697282959
1718737790.793071,2.0,0.0,-0.672455663,0.700062554
1718737790.794212,2.0,0.0,-0.671765405,0.690198117
1718737790.795347,2.0,0.0,-0.671016511,0.748819581
1718737790.795925,2.0,0.0,-0.670197315,0.82038192
1718737790.797056,2.0,0.0,-0.668930736,1.265452135
1718737790.798188,2.0,0.0,-0.668013736,0.916796559
1718737790.799453,2.0,0.0,-0.667323725,0.690194859
1718737790.800084,2.0,0.0,-0.666673042,0.650955803
1718737790.801268,2.0,0.0,-0.665988511,0.684769192
1718737790.801901,2.0,0.0,-0.665269006,0.719685387
1718737790.803084,2.0,0.0,-0.664531535,0.737602798
1718737790.804277,2.0,0.0,-0.663787785,0.743845368
1718737790.804827,2.0,0.0,-0.663041725,0.746123487
1718737790.806028,2.0,0.0,-0.662293494,0.748267516
1718737790.807199,2.0,0.0,-0.661542415,0.751090142
1718737790.807806,2.0,0.0,-0.660788069,0.754337827
1718737790.808993,2.0,0.0,-0.66003029,0.757757133
1718737790.810148,2.0,0.0,-0.65926892,0.761339738
1718737790.811326,2.0,0.0,-0.658503886,0.764996425
1718737790.811934,2.0,0.0,-0.657735207,0.76864039
1718737790.813109,2.0,0.0,-0.656974241,0.760883337
1718737790.814279,2.0,0.0,-0.656154853,0.819305966
1718737790.814887,2.0,0.0,-0.655301533,0.853264619
1718737790.816059,2.0,0.0,-0.654436662,0.864858909
1718737790.81724,2.0,0.0,-0.653531612,0.906340032
1718737790.818179,2.0,0.0,-0.652174911,1.355595331
1718737790.81906,2.0,0.0,-0.651172353,1.002393116
1718737790.820266,2.0,0.0,-0.650394422,0.778150783
1718737790.821083,2.0,0.0,-0.649651294,0.743430898
1718737790.822235,2.0,0.0,-0.648871595,0.779960024
1718737790.822906,2.0,0.0,-0.648094715,0.776969575
1718737790.824082,2.0,0.0,-0.647280087,0.814556274
1718737790.825254,2.0,0.0,-0.646426931,0.853001483
1718737790.825925,2.0,0.0,-0.645558166,0.868597084
1718737790.826284,2.0,0.0,-0.645558166,0.868597084
1718737790.827084,2.0,0.0,-0.644685971,0.872047975
1718737790.828266,2.0,0.0,-0.643813953,0.871903306
1718737790.829465,2.0,0.0,-0.642940736,0.873134196
1718737790.830099,2.0,0.0,-0.642065255,0.875426549
1718737790.831343,2.0,0.0,-0.641187224,0.877998465
1718737790.832686,2.0,0.0,-0.640306822,0.880384247
1718737790.833171,2.0,0.0,-0.639438046,0.868731848
1718737790.83437,2.0,0.0,-0.638509945,0.928050437
1718737790.835006,2.0,0.0,-0.637550226,0.959700921
1718737790.83639,2.0,0.0,-0.63658281,0.967438548
1718737790.837418,2.0,0.0,-0.635614018,0.968840141
1718737790.838053,2.0,0.0,-0.634643575,0.970508171
1718737790.839237,2.0,0.0,-0.633670695,0.972941409
1718737790.840403,2.0,0.0,-0.632734156,0.936527407
1718737790.841018,2.0,0.0,-0.631804339,0.929729582
1718737790.842215,2.0,0.0,-0.630861496,0.942724622
1718737790.843687,2.0,0.0,-0.629877135,0.985476869
1718737790.844281,2.0,0.0,-0.628472366,1.403637108
1718737790.845425,2.0,0.0,-0.627419345,1.052777863
1718737790.846014,2.0,0.0,-0.626582543,0.836922688
1718737790.84715,2.0,0.0,-0.625777051,0.805714516
1718737790.848297,2.0,0.0,-0.624936941,0.840313194
1718737790.848896,2.0,0.0,-0.624064135,0.872975397
1718737790.850044,2.0,0.0,-0.623174308,0.889970546
1718737790.851198,2.0,0.0,-0.6222891,0.885276587
1718737790.852359,2.0,0.0,-0.621339141,0.9499952
1718737790.852969,2.0,0.0,-0.620356029,0.983151115
1718737790.854094,2.0,0.0,-0.619363948,0.992133692
1718737790.85523,2.0,0.0,-0.618368663,0.995341679
1718737790.856381,2.0,0.0,-0.617369765,0.998944826
1718737790.856987,2.0,0.0,-0.616366613,1.003179534
1718737790.858144,2.0,0.0,-0.615359588,1.007030201
1718737790.859297,2.0,0.0,-0.614349599,1.009973006
1718737790.859881,2.0,0.0,-0.613337374,1.012190702
1718737790.861016,2.0,0.0,-0.612268246,1.070663695
1718737790.862157,2.0,0.0,-0.610732742,1.534183321
1718737790.863312,2.0,0.0,-0.609600216,1.132238445
1718737790.86447,2.0,0.0,-0.608707744,0.892584708
1718737790.865045,2.0,0.0,-0.607847189,0.860748649
1718737790.866185,2.0,0.0,-0.606948233,0.899114316
1718737790.867327,2.0,0.0,-0.606028106,0.92018316
1718737790.867909,2.0,0.0,-0.605029074,0.999047339
1718737790.869138,2.0,0.0,-0.603996375,1.032726315
1718737790.870305,2.0,0.0,-0.602957287,1.039143758
1718737790.871436,2.0,0.0,-0.601916351,1.041013072
1718737790.872068,2.0,0.0,-0.600870985,1.045436695
1718737790.873199,2.0,0.0,-0.599820131,1.050911405
1718737790.874353,2.0,0.0,-0.598764164,1.056006132
1718737790.874961,2.0,0.0,-0.59770384,1.060343976
1718737790.876115,2.0,0.0,-0.596639822,1.064019053
1718737790.877261,2.0,0.0,-0.595572571,1.067236993
1718737790.878405,2.0,0.0,-0.594502382,1.070161389
1718737790.879034,2.0,0.0,-0.593429445,1.072901688
1718737790.880164,2.0,0.0,-0.592299987,1.131043802
1718737790.88135,2.0,0.0,-0.590698273,1.600363505
1718737790.882411,2.0,0.0,-0.589509463,1.188548489
1718737790.882986,2.0,0.0,-0.588557331,0.952285905
1718737790.884106,2.0,0.0,-0.587630408,0.927157922
1718737790.885225,2.0,0.0,-0.586662168,0.968440948
1718737790.886397,2.0,0.0,-0.585672459,0.989817875
1718737790.887279,2.0,0.0,-0.584605212,1.067306167
1718737790.888361,2.0,0.0,-0.583503539,1.101744276
1718737790.888956,2.0,0.0,-0.582393058,1.110579809
1718737790.890102,2.0,0.0,-0.581277743,1.11542532
1718737790.891236,2.0,0.0,-0.580155757,1.12209164
1718737790.892373,2.0,0.0,-0.579025935,1.12990838
1718737790.892957,2.0,0.0,-0.577888546,1.137453241
1718737790.894103,2.0,0.0,-0.576744432,1.14415424
1718737790.895246,2.0,0.0,-0.575594398,1.150051254
1718737790.896384,2.0,0.0,-0.574439048,1.15534888
1718737790.896984,2.0,0.0,-0.573278821,1.160211804
1718737790.898141,2.0,0.0,-0.572114053,1.164743712
1718737790.899266,2.0,0.0,-0.570945005,1.169018446
1718737790.900403,2.0,0.0,-0.569771876,1.173099052
1718737790.900994,2.0,0.0,-0.568554044,1.219256954
1718737790.902179,2.0,0.0,-0.566867591,1.685114276
1718737790.90329,2.0,0.0,-0.565630671,1.236571798
1718737790.904444,2.0,0.0,-0.564590288,1.040317942
1718737790.905038,2.0,0.0,-0.56353249,1.057755699
1718737790.906181,2.0,0.0,-0.562422195,1.110234224
1718737790.907322,2.0,0.0,-0.561293028,1.129066842
1718737790.907913,2.0,0.0,-0.560094517,1.198439612
1718737790.909051,2.0,0.0,-0.558909174,1.185259022
1718737790.910192,2.0,0.0,-0.557722219,1.186860708
1718737790.911331,2.0,0.0,-0.556516437,1.205712976
1718737790.912179,2.0,0.0,-0.555303618,1.21279016
1718737790.913323,2.0,0.0,-0.55408908,1.214548817
1718737790.914464,2.0,0.0,-0.552873077,1.216040877
1718737790.915058,2.0,0.0,-0.551654552,1.218585429
1718737790.916246,2.0,0.0,-0.550432708,1.221903165
1718737790.917531,2.0,0.0,-0.549207519,1.225253315
1718737790.918015,2.0,0.0,-0.547979273,1.228304807
1718737790.919178,2.0,0.0,-0.546748194,1.231125362
1718737790.920352,2.0,0.0,-0.545514092,1.234131379
1718737790.921468,2.0,0.0,-0.544276792,1.237311852
1718737790.922061,2.0,0.0,-0.543036229,1.240559308
1718737790.923207,2.0,0.0,-0.541792395,1.24381646
1718737790.924349,2.0,0.0,-0.54047907,1.315194738
1718737790.924942,2.0,0.0,-0.538692902,1.784753707
1718737790.926099,2.0,0.0,-0.537365951,1.326637311
1718737790.926344,-2.0,0.0,-0.537365951,1.326637311
1718737790.927242,-2.0,0.0,-0.536198255,1.167780658
1718737790.928421,-2.0,0.0,-0.535011974,1.18645713
1718737790.929536,-2.0,0.0,-0.533793141,1.219022297
1718737790.930133,-2.0,0.0,-0.532559523,1.233803191
1718737790.931301,-2.0,0.0,-0.531323872,1.23583605
1718737790.932421,-2.0,0.0,-0.530090381,1.233635585
1718737790.933043,-2.0,0.0,-0.528860432,1.230057651
1718737790.934201,-2.0,0.0,-0.527634539,1.22594866
1718737790.935292,-2.0,0.0,-0.526413144,1.22141227
1718737790.935846,-2.0,0.0,-0.525196724,1.216399098
1718737790.936992,-2.0,0.0,-0.523985348,1.211325916
1718737790.938167,-2.0,0.0,-0.52277932,1.205954579
1718737790.939295,-2.0,0.0,-0.521578909,1.200322953
1718737790.940436,-2.0,0.0,-0.520384242,1.194571337
1718737790.94105,-2.0,0.0,-0.519195323,1.188820511
1718737790.942189,-2.0,0.0,-0.517945004,1.252169854
1718737790.943315,-2.0,0.0,-0.51616094,1.782435733
1718737790.94458,-2.0,0.0,-0.514840324,1.320310807
1718737790.945166,-2.0,0.0,-0.513749682,1.090917449
1718737790.946344,-2.0,0.0,-0.512666603,1.08335972
