__time,/ground_truth/pose/pose/position/x,/ground_truth/pose/pose/position/y,/ground_truth/pose/pose/position/z,/ground_truth/pose/pose/orientation/yaw
1719597316.761074,3.624522146,0.073545108,-0.001131223,0.228256092
1719597316.76205,3.624754185,0.073593479,-0.001135928,0.228344909
1719597316.763028,3.624986333,0.073643629,-0.001140245,0.228432687
1719597316.764059,3.625218786,0.073695623,-0.001144089,0.228519405
1719597316.765093,3.625451718,0.073749345,-0.00114738,0.228605047
1719597316.766094,3.62568662,0.073801357,-0.001150294,0.228689986
1719597316.767096,3.625924776,0.073856799,-0.00115354,0.228780476
1719597316.768081,3.62616509,0.073917742,-0.001156886,0.228870986
1719597316.769031,3.626406999,0.073982329,-0.001160095,0.228960661
1719597316.770076,3.626650149,0.074048583,-0.001162994,0.229049381
1719597316.771045,3.626894267,0.074114995,-0.001165464,0.229137107
1719597316.772119,3.627139103,0.07418057,-0.001167414,0.229223816
1719597316.773044,3.627382497,0.074248443,-0.001168961,0.22930992
1719597316.774123,3.62762326,0.074311551,-0.0011709,0.229400841
1719597316.775195,3.62786216,0.074369554,-0.00117303,0.229494614
1719597316.77625,3.628100249,0.074422948,-0.001175115,0.229587972
1719597316.77711,3.628337862,0.074473511,-0.001176988,0.229680189
1719597316.778119,3.628575085,0.074522937,-0.001178541,0.229771257
1719597316.779105,3.628811978,0.07457244,-0.001179695,0.229861198
1719597316.780053,3.62904861,0.0746228,-0.001180388,0.229950019
1719597316.781085,3.629285068,0.074674454,-0.001180569,0.230037737
1719597316.78205,3.629521447,0.074727577,-0.001180196,0.230124376
1719597316.783306,3.629757846,0.074782159,-0.001179233,0.230209968
1719597316.784258,3.629994364,0.074838055,-0.001177649,0.230294544
1719597316.785114,3.630231092,0.074895046,-0.001175419,0.230378125
1719597316.786118,3.630468113,0.07495287,-0.001172523,0.230460721
1719597316.787071,3.630705492,0.075011264,-0.001168946,0.230542324
1719597316.788183,3.630944631,0.075066856,-0.001164938,0.230623226
1719597316.789079,3.631186841,0.075124775,-0.001161281,0.2307097
