__time,/effort_controller/commands/data[1],/joint_states/front_left_motor_joint/position
1718737782.297521,0.0,-0.012161421
1718737782.298698,0.0,-0.012176798
1718737782.299875,0.0,-0.012188769
1718737782.300492,0.0,-0.012197443
1718737782.301674,0.0,-0.012203159
1718737782.302846,0.0,-0.012206463
1718737782.303498,0.0,-0.012208029
1718737782.304655,0.0,-0.012208576
1718737782.306101,0.0,-0.012208789
1718737782.306575,0.0,-0.012209268
1718737782.307769,0.0,-0.012210486
1718737782.308946,0.0,-0.012212782
1718737782.309673,0.0,-0.012216351
1718737782.31082,0.0,-0.012221258
1718737782.311983,0.0,-0.012227458
1718737782.312578,0.0,-0.012234812
1718737782.313691,0.0,-0.012243114
1718737782.314968,0.0,-0.012252109
1718737782.315563,0.0,-0.012261519
1718737782.316669,0.0,-0.012271056
1718737782.317882,0.0,-0.012280437
1718737782.319068,0.0,-0.0122894
1718737782.319694,0.0,-0.012297708
1718737782.320984,0.0,-0.012305159
1718737782.32162,0.0,-0.012315328
1718737782.322794,0.0,-0.012317367
1718737782.323989,0.0,-0.012317892
1718737782.32464,0.0,-0.012316702
1718737782.325799,0.0,-0.012313716
1718737782.326298,2.0,-0.012313716
1718737782.326982,2.0,-0.012308876
1718737782.327591,2.0,-0.012302065
1718737782.328791,2.0,-0.012293114
1718737782.32999,2.0,-0.012281836
1718737782.330645,2.0,-0.012268377
1718737782.331838,2.0,-0.012255506
1718737782.333011,2.0,-0.012234447
1718737782.333629,2.0,-0.01220735
1718737782.334821,2.0,-0.01217694
1718737782.33601,2.0,-0.012145388
1718737782.336639,2.0,-0.012114288
1718737782.337876,2.0,-0.012084772
1718737782.339029,2.0,-0.012057614
1718737782.33964,2.0,-0.012033311
1718737782.340886,2.0,-0.012012146
1718737782.342073,2.0,-0.011994233
1718737782.34269,2.0,-0.011979561
1718737782.343885,2.0,-0.011994527
1718737782.34505,2.0,-0.011953394
1718737782.345662,2.0,-0.011968431
1718737782.346837,2.0,-0.011996619
1718737782.348005,2.0,-0.012029687
1718737782.348646,2.0,-0.012064461
1718737782.349827,2.0,-0.012099127
1718737782.351051,2.0,-0.012132523
1718737782.351693,2.0,-0.012163912
1718737782.352817,2.0,-0.012192865
1718737782.353997,2.0,-0.01221635
1718737782.354569,2.0,-0.012221249
1718737782.35572,2.0,-0.012220545
1718737782.356939,2.0,-0.012216542
1718737782.357537,2.0,-0.012209889
1718737782.358672,2.0,-0.012201044
1718737782.35981,2.0,-0.012190527
1718737782.360943,2.0,-0.012178951
1718737782.361524,2.0,-0.012166988
1718737782.362692,2.0,-0.012155314
1718737782.363824,2.0,-0.012144556
1718737782.36497,2.0,-0.01213525
1718737782.365558,2.0,-0.012127816
1718737782.366704,2.0,-0.012122538
1718737782.367856,2.0,-0.012119562
1718737782.369006,2.0,-0.012118907
1718737782.369648,2.0,-0.012120475
1718737782.370747,2.0,-0.012124071
1718737782.371895,2.0,-0.012129427
1718737782.37315,2.0,-0.012136226
1718737782.373742,2.0,-0.012144118
1718737782.374895,2.0,-0.012152746
1718737782.376083,2.0,-0.012161762
1718737782.376674,2.0,-0.012170839
1718737782.377831,2.0,-0.012179687
1718737782.378975,2.0,-0.012188057
1718737782.379561,2.0,-0.012195745
1718737782.380709,2.0,-0.012202601
1718737782.381846,2.0,-0.012212172
1718737782.38299,2.0,-0.012213931
1718737782.383583,2.0,-0.012214235
1718737782.384723,2.0,-0.012212992
1718737782.385869,2.0,-0.012210274
1718737782.387011,2.0,-0.012206163
1718737782.387663,2.0,-0.012200657
1718737782.388932,2.0,-0.012193675
1718737782.390343,2.0,-0.01218509
1718737782.390793,2.0,-0.012174779
1718737782.392006,2.0,-0.012162675
1718737782.39268,2.0,-0.012151436
1718737782.393951,2.0,-0.012132799
1718737782.395219,2.0,-0.012109052
1718737782.395925,2.0,-0.012082968
1718737782.397212,2.0,-0.01205672
1718737782.397881,2.0,-0.012031875
1718737782.399027,2.0,-0.012009507
1718737782.399613,2.0,-0.011990307
1718737782.400765,2.0,-0.011974675
1718737782.401934,2.0,-0.011962783
1718737782.403061,2.0,-0.011954632
1718737782.403646,2.0,-0.011950091
1718737782.404878,2.0,-0.011948929
1718737782.406068,2.0,-0.011950844
1718737782.406727,2.0,-0.011955484
1718737782.407918,2.0,-0.011962467
1718737782.40909,2.0,-0.011971391
1718737782.40973,2.0,-0.011981855
1718737782.410889,2.0,-0.011993463
1718737782.412095,2.0,-0.012005839
1718737782.412708,2.0,-0.012018633
1718737782.413978,2.0,-0.012031532
1718737782.415101,2.0,-0.012041172
1718737782.415693,2.0,-0.012034626
1718737782.416831,2.0,-0.012024652
1718737782.417983,2.0,-0.012035587
1718737782.418562,2.0,-0.01198727
1718737782.41974,2.0,-0.011994533
1718737782.420856,2.0,-0.012012081
1718737782.421995,2.0,-0.012031786
1718737782.423146,2.0,-0.012051025
1718737782.423747,2.0,-0.012068661
1718737782.424943,2.0,-0.012084241
1718737782.426089,2.0,-0.012097709
1718737782.426239,-2.0,-0.012097709
1718737782.427282,-2.0,-0.012109231
1718737782.427892,-2.0,-0.012119087
1718737782.429036,-2.0,-0.012127595
1718737782.42962,-2.0,-0.01213506
1718737782.430795,-2.0,-0.012141746
1718737782.431948,-2.0,-0.012147866
1718737782.433068,-2.0,-0.012153579
1718737782.433645,-2.0,-0.012162588
1718737782.434779,-2.0,-0.012164392
1718737782.435907,-2.0,-0.012165355
1718737782.437053,-2.0,-0.012166594
1718737782.438167,-2.0,-0.012170179
1718737782.438736,-2.0,-0.012167222
1718737782.439858,-2.0,-0.012159822
1718737782.441018,-2.0,-0.012150448
1718737782.441635,-2.0,-0.012140828
1718737782.44274,-2.0,-0.012132005
1718737782.443854,-2.0,-0.012124524
1718737782.444991,-2.0,-0.012118598
1718737782.445586,-2.0,-0.012114236
1718737782.446737,-2.0,-0.012111327
1718737782.447893,-2.0,-0.012109706
1718737782.449087,-2.0,-0.012109188
1718737782.449709,-2.0,-0.012109594
1718737782.4509,-2.0,-0.012110758
1718737782.452075,-2.0,-0.012112536
1718737782.452679,-2.0,-0.0121148
1718737782.453835,-2.0,-0.012117437
1718737782.454938,-2.0,-0.01212034
1718737782.456074,-2.0,-0.012123405
1718737782.457217,-2.0,-0.01212653
1718737782.457814,-2.0,-0.012129608
1718737782.458978,-2.0,-0.012132531
1718737782.460088,-2.0,-0.012135192
1718737782.461236,-2.0,-0.012137485
1718737782.461879,-2.0,-0.012139311
1718737782.463062,-2.0,-0.012140581
1718737782.464169,-2.0,-0.012141217
1718737782.465344,-2.0,-0.012141159
1718737782.465864,-2.0,-0.012140364
1718737782.46709,-2.0,-0.012138805
1718737782.468245,-2.0,-0.012136476
1718737782.468785,-2.0,-0.012133388
1718737782.469922,-2.0,-0.012129568
1718737782.47106,-2.0,-0.012125057
1718737782.472193,-2.0,-0.012119906
1718737782.472745,-2.0,-0.012114176
1718737782.473891,-2.0,-0.012107934
1718737782.475046,-2.0,-0.012101247
1718737782.476198,-2.0,-0.012094186
1718737782.476784,-2.0,-0.012086818
1718737782.477913,-2.0,-0.012076935
1718737782.479072,-2.0,-0.012062965
1718737782.480254,-2.0,-0.012004832
1718737782.480795,-2.0,-0.011996238
1718737782.481964,-2.0,-0.011997095
1718737782.483078,-2.0,-0.012000114
1718737782.484265,-2.0,-0.012002827
1718737782.484786,-2.0,-0.012004099
1718737782.485993,-2.0,-0.012003457
1718737782.487126,-2.0,-0.012000833
1718737782.488256,-2.0,-0.011996401
1718737782.488866,-2.0,-0.011990472
1718737782.490034,-2.0,-0.011983401
1718737782.491112,-2.0,-0.011975534
1718737782.492256,-2.0,-0.011967169
1718737782.492848,-2.0,-0.011958546
1718737782.493991,-2.0,-0.011949837
1718737782.495127,-2.0,-0.011941156
1718737782.496281,-2.0,-0.011932567
1718737782.496854,-2.0,-0.011924103
1718737782.497996,-2.0,-0.01191577
1718737782.499147,-2.0,-0.011907565
1718737782.499727,-2.0,-0.011900437
1718737782.500857,-2.0,-0.011896542
1718737782.502005,-2.0,-0.011886907
1718737782.503143,-2.0,-0.011873769
1718737782.504282,-2.0,-0.01185987
1718737782.504867,-2.0,-0.011847279
1718737782.506009,-2.0,-0.011837384
1718737782.507153,-2.0,-0.011831016
1718737782.508306,-2.0,-0.011828593
1718737782.508899,-2.0,-0.011830226
1718737782.510046,-2.0,-0.01183963
1718737782.51119,-2.0,-0.011845653
1718737782.511765,-2.0,-0.011854606
1718737782.512934,-2.0,-0.011865966
1718737782.5141,-2.0,-0.011879272
1718737782.515193,-2.0,-0.011894018
1718737782.516346,-2.0,-0.011909595
1718737782.516941,-2.0,-0.01192532
1718737782.518091,-2.0,-0.011940495
1718737782.519251,-2.0,-0.011954457
1718737782.519956,-2.0,-0.011963465
1718737782.520991,-2.0,-0.011954023
1718737782.522136,-2.0,-0.011938837
1718737782.523274,-2.0,-0.011919999
1718737782.523855,-2.0,-0.011897955
1718737782.52501,-2.0,-0.011872987
1718737782.52617,-2.0,-0.011880165
1718737782.526371,-2.0,-0.011880165
1718737782.527289,-2.0,-0.011814707
1718737782.527887,-2.0,-0.011806312
1718737782.529,-2.0,-0.011809274
1718737782.530176,-2.0,-0.011815531
1718737782.531326,-2.0,-0.011822547
1718737782.531916,-2.0,-0.011829188
1718737782.533013,-2.0,-0.011834913
1718737782.534157,-2.0,-0.0118395
1718737782.534757,-2.0,-0.011842905
1718737782.535896,-2.0,-0.011845183
1718737782.537031,-2.0,-0.011846435
1718737782.538166,-2.0,-0.011846774
1718737782.538784,-2.0,-0.011846304
1718737782.539955,-2.0,-0.011845121
1718737782.54109,-2.0,-0.011843304
1718737782.542243,-2.0,-0.011840921
1718737782.542831,-2.0,-0.011838036
1718737782.544044,-2.0,-0.01183471
1718737782.545162,-2.0,-0.011831007
1718737782.545734,-2.0,-0.011826998
1718737782.54686,-2.0,-0.011822757
1718737782.548049,-2.0,-0.011818366
1718737782.549162,-2.0,-0.01181391
1718737782.550303,-2.0,-0.011809472
1718737782.550926,-2.0,-0.011805135
1718737782.552019,-2.0,-0.011800976
1718737782.553176,-2.0,-0.011797061
1718737782.554335,-2.0,-0.011793445
1718737782.554923,-2.0,-0.01179017
1718737782.556036,-2.0,-0.01178726
1718737782.557194,-2.0,-0.011784728
1718737782.558058,-2.0,-0.011782569
1718737782.559194,-2.0,-0.011780766
1718737782.560461,-2.0,-0.011779289
1718737782.561004,-2.0,-0.011778099
1718737782.562172,-2.0,-0.011777148
1718737782.563314,-2.0,-0.011776383
1718737782.563897,-2.0,-0.011775751
1718737782.565037,-2.0,-0.011775195
1718737782.566199,-2.0,-0.011775
1718737782.567405,-2.0,-0.011777478
1718737782.567976,-2.0,-0.011774358
1718737782.569161,-2.0,-0.011767774
1718737782.57028,-2.0,-0.011760264
1718737782.570868,-2.0,-0.011753703
1718737782.572016,-2.0,-0.011749309
1718737782.573162,-2.0,-0.011747781
1718737782.573763,-2.0,-0.011749439
1718737782.574977,-2.0,-0.011754323
1718737782.576117,-2.0,-0.011762285
1718737782.577324,-2.0,-0.011773044
1718737782.577857,-2.0,-0.01178624
1718737782.579005,-2.0,-0.011801464
1718737782.580147,-2.0,-0.011815539
1718737782.580741,-2.0,-0.011814409
1718737782.581969,-2.0,-0.011810856
1718737782.583066,-2.0,-0.011806694
1718737782.584208,-2.0,-0.011801994
1718737782.585381,-2.0,-0.011796606
1718737782.58594,-2.0,-0.01179044
1718737782.587141,-2.0,-0.011783523
1718737782.588259,-2.0,-0.011775973
1718737782.588888,-2.0,-0.01176796
1718737782.589997,-2.0,-0.011759662
1718737782.591151,-2.0,-0.011751231
1718737782.592296,-2.0,-0.011742767
1718737782.592878,-2.0,-0.011738074
1718737782.594057,-2.0,-0.011726727
1718737782.595175,-2.0,-0.011714918
1718737782.596329,-2.0,-0.01170241
1718737782.596921,-2.0,-0.011689049
1718737782.598065,-2.0,-0.011674654
1718737782.599205,-2.0,-0.011658943
1718737782.599799,-2.0,-0.011641565
1718737782.600996,-2.0,-0.01162215
1718737782.602139,-2.0,-0.01164878
1718737782.603273,-2.0,-0.011584435
1718737782.603874,-2.0,-0.011579666
1718737782.605001,-2.0,-0.011584973
1718737782.606154,-2.0,-0.011591146
1718737782.607307,-2.0,-0.011595026
1718737782.607906,-2.0,-0.011595133
1718737782.609064,-2.0,-0.011591562
1718737782.610243,-2.0,-0.01158607
1718737782.611501,-2.0,-0.011570351
1718737782.612046,-2.0,-0.011547184
1718737782.613204,-2.0,-0.011519974
1718737782.614365,-2.0,-0.011491521
1718737782.614957,-2.0,-0.011463944
1718737782.61613,-2.0,-0.011438773
1718737782.617278,-2.0,-0.011417054
1718737782.617942,-2.0,-0.011399449
1718737782.619105,-2.0,-0.011386313
1718737782.620239,-2.0,-0.011377765
1718737782.621384,-2.0,-0.011373743
1718737782.621973,-2.0,-0.011374045
1718737782.623118,-2.0,-0.011378372
1718737782.624288,-2.0,-0.011386354
1718737782.624858,-2.0,-0.011397573
1718737782.62604,-2.0,-0.011411586
1718737782.626254,-2.0,-0.011411586
1718737782.627198,-2.0,-0.011427938
1718737782.627843,-2.0,-0.011446175
1718737782.628962,-2.0,-0.011465855
1718737782.630112,-2.0,-0.011486556
1718737782.631326,-2.0,-0.011507886
1718737782.631929,-2.0,-0.011529487
1718737782.633106,-2.0,-0.011554889
1718737782.634227,-2.0,-0.011572993
1718737782.635369,-2.0,-0.011587342
1718737782.635976,-2.0,-0.011585074
1718737782.63711,-2.0,-0.011578681
1718737782.638259,-2.0,-0.011570049
1718737782.638896,-2.0,-0.011559347
1718737782.640047,-2.0,-0.011546501
1718737782.641179,-2.0,-0.011531473
1718737782.641781,-2.0,-0.011514332
1718737782.642928,-2.0,-0.011495256
1718737782.644054,-2.0,-0.011474511
1718737782.645227,-2.0,-0.011452427
1718737782.64582,-2.0,-0.011429361
1718737782.646976,-2.0,-0.011405672
1718737782.648119,-2.0,-0.011381701
1718737782.649225,-2.0,-0.011357747
1718737782.64989,-2.0,-0.011334062
1718737782.651034,-2.0,-0.011310839
1718737782.652185,-2.0,-0.011288216
1718737782.65278,-2.0,-0.011266275
1718737782.653907,-2.0,-0.011245046
1718737782.655213,-2.0,-0.011224519
1718737782.656429,-2.0,-0.011204651
1718737782.656973,-2.0,-0.011185373
1718737782.658131,-2.0,-0.011166599
1718737782.659264,-2.0,-0.01114824
1718737782.659839,-2.0,-0.011130203
1718737782.660984,-2.0,-0.011112404
1718737782.662143,-2.0,-0.011095918
1718737782.663407,-2.0,-0.011082225
1718737782.663937,-2.0,-0.011062008
1718737782.665061,-2.0,-0.011037722
1718737782.666199,-2.0,-0.011012341
1718737782.667349,-2.0,-0.010988112
1718737782.667919,-2.0,-0.010966543
1718737782.669066,-2.0,-0.010948545
1718737782.670226,-2.0,-0.010934587
1718737782.671391,-2.0,-0.010924812
1718737782.671957,-2.0,-0.010919139
1718737782.673113,-2.0,-0.010917332
1718737782.674271,-2.0,-0.010919061
1718737782.674842,-2.0,-0.01092394
1718737782.675963,-2.0,-0.010931562
1718737782.677104,-2.0,-0.010941516
1718737782.678346,-2.0,-0.010949489
1718737782.678943,-2.0,-0.010943168
1718737782.680083,-2.0,-0.010935472
1718737782.681231,-2.0,-0.010928094
1718737782.681947,-2.0,-0.010920958
1718737782.683178,-2.0,-0.010913801
1718737782.684346,-2.0,-0.01092157
1718737782.684903,-2.0,-0.010874993
1718737782.686042,-2.0,-0.010887519
1718737782.687301,-2.0,-0.010911608
1718737782.688436,-2.0,-0.010938812
1718737782.689022,-2.0,-0.01096633
1718737782.690292,-2.0,-0.010992804
1718737782.691493,-2.0,-0.011017515
1718737782.692105,-2.0,-0.011040108
